include_default,bag,bag_path,label_raw,label_norm,pose_index,height_level,pose,repeat_group,all_labels,size_gb,duration_s,messages,rgb_msgs,vis_msgs,nir_msgs,thermal_c_msgs,cloud_msgs,gps_msgs
no,2026-06-23-08-06-41.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-08-06-41.bag,test,test,,test,test,,test | test,18.285,,152984,419,420,419,710,1049,265
yes,2026-06-23-08-26-48.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-08-26-48.bag,calib_p01_low_center,calib_p01_low_center,01,low,center,,calib_p01_low_center | calib_p01_low_center,2.134,12.2,17817,49,49,49,84,122,31
no,2026-06-23-08-30-20.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-08-30-20.bag,calib_p01_low_left,calib_p01_low_left,01,low,left,,calib_p01_low_left,1.595,9.2,13472,36,37,37,63,92,23
yes,2026-06-23-08-39-46.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-08-39-46.bag,calib_p01_low_left_02,calib_p01_low_left_02,01,low,left_02,calib_p01_low_left,calib_p01_low_left_02 | calib_p02_low_left_02,1.573,9.1,13234,36,37,36,61,90,23
yes,2026-06-23-08-43-50.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-08-43-50.bag,calib_p03_low_right,calib_p03_low_right,03,low,right,,calib_p03_low_right | calib_p03_low_right,0.683,7.6,991,30,30,30,50,0,19
yes,2026-06-23-08-49-49.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-08-49-49.bag,calib_p04_low_top,calib_p04_low_top,04,low,top,,calib_p04_low_top | calib_p04_low_top,1.913,10.9,15955,44,44,44,76,109,28
yes,2026-06-23-08-51-56.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-08-51-56.bag,calib_p05_low_bottom,calib_p05_low_bottom,05,low,bottom,,calib_p05_low_bottom | calip_p05_low_bottom,1.269,7.3,10653,29,29,29,53,72,18
yes,2026-06-23-08-54-31.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-08-54-31.bag,calib_p06_low_topleft,calib_p06_low_topleft,06,low,topleft,,calib_p06_low_topleft | calib_p06_low_topleft,1.381,7.9,11548,32,32,31,52,79,20
yes,2026-06-23-08-56-12.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-08-56-12.bag,calib_p07_low_topright,calib_p07_low_topright,07,low,topright,,calib_p07_low_topright | calib_p07_low_topright,1.725,9.8,14388,40,40,39,67,98,25
yes,2026-06-23-08-58-21.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-08-58-21.bag,calib_p08_low_bottomleft,calib_p08_low_bottomleft,08,low,bottomleft,,calib_p08_low_bottomleft | calib_p08_low_bottomleft,1.734,9.9,14495,40,39,40,68,99,25
yes,2026-06-23-08-59-53.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-08-59-53.bag,calib_p09_low_bottomright,calib_p09_low_bottomright,09,low,bottomright,,calib_p09_low_bottomright | calib_p09_low_bottomright,1.556,8.9,12983,36,35,36,59,89,22
yes,2026-06-23-09-02-50.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-09-02-50.bag,calib_p10_low_roll_plus,calib_p10_low_roll_plus,10,low,roll_plus,,calib_p10_low_roll_plus | calib_p10_low_roll_plus,1.483,8.5,12366,34,34,34,58,85,21
yes,2026-06-23-09-04-17.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-09-04-17.bag,calib_p11_low_roll_minus,calib_p11_low_roll_minus,11,low,roll_minus,,calib_p11_low_roll_minus | calib_p11_low_roll_minus,1.481,8.5,12398,34,34,34,57,85,21
yes,2026-06-23-09-06-46.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-09-06-46.bag,calib_p12_low_tilt,calib_p12_low_tilt,12,low,tilt,,calib_p12_low_tilt | calib_p12_low_tilt,1.510,8.6,12613,35,34,35,58,86,21
yes,2026-06-23-09-10-36.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-09-10-36.bag,calib_p13_mid_center,calib_p13_mid_center,13,mid,center,,calib_p13_mid_center | calib_p13_mid_center,1.569,9.0,13158,36,36,36,60,90,22
yes,2026-06-23-09-12-23.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-09-12-23.bag,calib_p14_mid_left,calib_p14_mid_left,14,mid,left,,calib_p14_mid_left | calib_p14_mid_left,1.534,8.8,12888,35,36,35,60,88,22
yes,2026-06-23-09-14-07.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-09-14-07.bag,calib_p15_mid_right,calib_p15_mid_right,15,mid,right,,calib_p15_mid_right | calib_p15_mid_right,1.694,9.7,14166,39,39,39,65,97,25
yes,2026-06-23-09-17-27.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-09-17-27.bag,calib_p16_mid_top,calib_p16_mid_top,16,mid,top,,calib_p16_mid_top | calib_p16_mid_top,1.674,9.6,14095,38,39,39,66,96,24
yes,2026-06-23-09-19-08.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-09-19-08.bag,calib_p17_mid_bottom,calib_p17_mid_bottom,17,mid,bottom,,calib_p17_mid_bottom | calib_p17_mid_bottom,1.469,8.4,12292,34,33,34,56,84,21
yes,2026-06-23-09-21-49.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-09-21-49.bag,calib_p18_mid_topleft,calib_p18_mid_topleft,18,mid,topleft,,calib_p18_mid_topleft | calib_p18_mid_topleft,1.267,7.3,10678,29,29,29,48,73,18
yes,2026-06-23-09-23-06.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-09-23-06.bag,calib_p19_mid_topright,calib_p19_mid_topright,19,mid,topright,,calib_p19_mid_topright | calib_p19_mid_topright,1.608,9.2,13453,37,37,37,62,92,23
yes,2026-06-23-09-24-53.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-09-24-53.bag,calib_p20_mid_bottomleft,calib_p20_mid_bottomleft,20,mid,bottomleft,,calib_p20_mid_bottomleft | calib_p20_mid_bottomleft,1.616,9.2,13489,37,37,37,62,93,23
yes,2026-06-23-09-27-27.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-09-27-27.bag,calib_p21_mid_bottomright,calib_p21_mid_bottomright,21,mid,bottomright,,calib_p21_mid_bottomright | calib_p21_mid_bottomright,1.529,8.7,12769,35,35,35,59,88,22
yes,2026-06-23-09-49-39.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-09-49-39.bag,calib_p22_mid_roll_plus,calib_p22_mid_roll_plus,22,mid,roll_plus,,calib_p22_mid_roll_plus | calib_p22_mid_roll_plus,1.601,9.3,13537,36,37,37,62,93,23
yes,2026-06-23-09-51-00.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-09-51-00.bag,calib_p23_mid_roll_minus,calib_p23_mid_roll_minus,23,mid,roll_minus,,calib_p23_mid_roll_minus | calib_p23_mid_roll_minus,1.512,8.7,12654,35,35,32,58,87,22
yes,2026-06-23-09-55-04.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-09-55-04.bag,calib_p24_mid_tilt,calib_p24_mid_tilt,24,mid,tilt,,calib_p24_mid_tilt | calip_p24_mid_tilt,1.708,9.8,14383,39,40,39,66,98,25
yes,2026-06-23-10-00-18.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-10-00-18.bag,calib_p25_high_center,calib_p25_high_center,25,high,center,,calib_p25_high_center | calib_p25_high_center,1.648,9.4,13713,38,38,38,64,94,23
yes,2026-06-23-10-02-00.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-10-02-00.bag,calib_p26_high_left,calib_p26_high_left,26,high,left,,calib_p26_high_left | calib_p26_high_left,1.932,11.1,16215,44,44,44,77,111,27
yes,2026-06-23-10-03-25.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-10-03-25.bag,calib_p27_high_right,calib_p27_high_right,27,high,right,,calib_p27_high_right | calip_p27_high_right,2.084,11.9,17370,48,48,48,81,119,30
yes,2026-06-23-10-05-51.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-10-05-51.bag,calib_p28_high_top,calib_p28_high_top,28,high,top,,calib_p28_high_top | calib_p28_high_top,1.790,10.2,14978,41,41,41,69,103,26
yes,2026-06-23-10-08-32.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-10-08-32.bag,calib_p29_high_bottom,calib_p29_high_bottom,29,high,bottom,,calib_p29_high_bottom | calip_p29_high_bottom,1.580,9.1,13293,36,36,36,62,91,22
yes,2026-06-23-10-10-54.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-10-10-54.bag,calib_p30_high_topleft,calib_p30_high_topleft,30,high,topleft,,calib_p30_high_topleft | calip_p30_high_topleft,1.883,10.8,15751,43,43,43,75,108,26
yes,2026-06-23-10-12-24.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-10-12-24.bag,calib_p31_high_topright,calib_p31_high_topright,31,high,topright,,calib_p31_high_topright | calip_p31_high_topright,1.755,10.1,14726,40,40,40,69,101,25
yes,2026-06-23-10-14-20.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-10-14-20.bag,calib_p32_high_bottomleft,calib_p32_high_bottomleft,32,high,bottomleft,,calib_p32_high_bottomleft | calib_p32_high_bottomleft,1.667,9.6,14036,38,38,38,65,96,24
yes,2026-06-23-10-16-16.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-10-16-16.bag,calib_p33_high_bottomright,calib_p33_high_bottomright,33,high,bottomright,,calib_p33_high_bottomright | calip_p33_high_bottomright,1.667,9.5,13935,38,38,39,65,96,24
yes,2026-06-23-10-18-28.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-10-18-28.bag,calib_p34_high_roll_plus,calib_p34_high_roll_plus,34,high,roll_plus,,calib_p34_high_roll_plus | calip_p34_high_roll_plus,1.682,9.6,14034,39,38,38,65,96,24
yes,2026-06-23-10-20-30.bag,X:\PhenoRob_UAVClimate\Projects\MSP_im_Mais\UGV\BAGS\20260623\2026-06-23-10-20-30.bag,calib_p35_high_roll_minus,calib_p35_high_roll_minus,35,high,roll_minus,,calib_p35_high_roll_minus | calip_p35_high_roll_minus,1.745,10.0,14633,40,40,40,68,100,25
