label_norm,bag,height_level,pose,rgb_checker,lidar_panel,lidar_method,lidar_points,lidar_rms_m,lidar_reason,preview
calib_p01_low_center,2026-06-23-08-26-48.bag,low,center,True,True,rgb_guided,1569,0.01528182371286678,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-08-26-48\ouster_intensity_guided_roi.jpg
calib_p01_low_left,2026-06-23-08-30-20.bag,low,left,True,True,rgb_guided,1552,0.015378630145201229,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-08-30-20\ouster_intensity_guided_roi.jpg
calib_p01_low_left_02,2026-06-23-08-39-46.bag,low,left_02,True,True,rgb_guided,1215,0.0159423064979706,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-08-39-46\ouster_intensity_guided_roi.jpg
calib_p03_low_right,2026-06-23-08-43-50.bag,low,right,True,False,none,,,no_cloud_topic,
calib_p04_low_top,2026-06-23-08-49-49.bag,low,top,True,True,rgb_guided,828,0.016339096822577757,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-08-49-49\ouster_intensity_guided_roi.jpg
calib_p05_low_bottom,2026-06-23-08-51-56.bag,low,bottom,True,True,rgb_guided,986,0.01621217899349554,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-08-51-56\ouster_intensity_guided_roi.jpg
calib_p06_low_topleft,2026-06-23-08-54-31.bag,low,topleft,True,True,rgb_guided,871,0.01690294924380188,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-08-54-31\ouster_intensity_guided_roi.jpg
calib_p07_low_topright,2026-06-23-08-56-12.bag,low,topright,True,True,rgb_guided,754,0.01678487611291147,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-08-56-12\ouster_intensity_guided_roi.jpg
calib_p08_low_bottomleft,2026-06-23-08-58-21.bag,low,bottomleft,False,True,intensity_fallback,925,0.02057937725480573,,runs\calibration_20260623_lidar_intensity_fallback\calib_p08_low_bottomleft_fallback_intensity.jpg
calib_p09_low_bottomright,2026-06-23-08-59-53.bag,low,bottomright,False,True,intensity_fallback,750,0.020283482111740154,,runs\calibration_20260623_lidar_intensity_fallback\calib_p09_low_bottomright_fallback_intensity.jpg
calib_p10_low_roll_plus,2026-06-23-09-02-50.bag,low,roll_plus,True,True,rgb_guided,909,0.016999132097421887,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-09-02-50\ouster_intensity_guided_roi.jpg
calib_p11_low_roll_minus,2026-06-23-09-04-17.bag,low,roll_minus,True,True,rgb_guided,964,0.01685291572338774,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-09-04-17\ouster_intensity_guided_roi.jpg
calib_p12_low_tilt,2026-06-23-09-06-46.bag,low,tilt,True,True,rgb_guided,599,0.01692127214225933,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-09-06-46\ouster_intensity_guided_roi.jpg
calib_p13_mid_center,2026-06-23-09-10-36.bag,mid,center,True,True,rgb_guided,1269,0.017683173773780664,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-09-10-36\ouster_intensity_guided_roi.jpg
calib_p14_mid_left,2026-06-23-09-12-23.bag,mid,left,True,True,rgb_guided,1297,0.017614558437833064,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-09-12-23\ouster_intensity_guided_roi.jpg
calib_p15_mid_right,2026-06-23-09-14-07.bag,mid,right,True,True,rgb_guided,1018,0.017532599362899838,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-09-14-07\ouster_intensity_guided_roi.jpg
calib_p16_mid_top,2026-06-23-09-17-27.bag,mid,top,True,True,rgb_guided,1183,0.01744416644492912,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-09-17-27\ouster_intensity_guided_roi.jpg
calib_p17_mid_bottom,2026-06-23-09-19-08.bag,mid,bottom,False,True,intensity_fallback,1298,0.019753614146952345,,runs\calibration_20260623_lidar_intensity_fallback\calib_p17_mid_bottom_fallback_intensity.jpg
calib_p18_mid_topleft,2026-06-23-09-21-49.bag,mid,topleft,True,True,rgb_guided,1261,0.017422784931895637,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-09-21-49\ouster_intensity_guided_roi.jpg
calib_p19_mid_topright,2026-06-23-09-23-06.bag,mid,topright,True,True,rgb_guided,1059,0.017954939959624053,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-09-23-06\ouster_intensity_guided_roi.jpg
calib_p20_mid_bottomleft,2026-06-23-09-24-53.bag,mid,bottomleft,True,True,rgb_guided,1378,0.017266121995593447,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-09-24-53\ouster_intensity_guided_roi.jpg
calib_p21_mid_bottomright,2026-06-23-09-27-27.bag,mid,bottomright,False,True,intensity_fallback,1079,0.020768449667385978,,runs\calibration_20260623_lidar_intensity_fallback\calib_p21_mid_bottomright_fallback_intensity.jpg
calib_p22_mid_roll_plus,2026-06-23-09-49-39.bag,mid,roll_plus,True,True,rgb_guided,1466,0.0170011900010125,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-09-49-39\ouster_intensity_guided_roi.jpg
calib_p23_mid_roll_minus,2026-06-23-09-51-00.bag,mid,roll_minus,True,True,rgb_guided,1233,0.017933103919884587,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-09-51-00\ouster_intensity_guided_roi.jpg
calib_p24_mid_tilt,2026-06-23-09-55-04.bag,mid,tilt,True,True,rgb_guided,516,0.01840032212646023,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-09-55-04\ouster_intensity_guided_roi.jpg
calib_p25_high_center,2026-06-23-10-00-18.bag,high,center,True,True,rgb_guided,1116,0.018544647371808727,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-10-00-18\ouster_intensity_guided_roi.jpg
calib_p26_high_left,2026-06-23-10-02-00.bag,high,left,True,True,rgb_guided,1125,0.01823318500695125,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-10-02-00\ouster_intensity_guided_roi.jpg
calib_p27_high_right,2026-06-23-10-03-25.bag,high,right,True,True,rgb_guided,841,0.018887501352419952,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-10-03-25\ouster_intensity_guided_roi.jpg
calib_p28_high_top,2026-06-23-10-05-51.bag,high,top,True,True,rgb_guided,1024,0.018570453227249407,,runs\calibration_20260623_checker_lidar_scan\bags\2026-06-23-10-05-51\ouster_intensity_guided_roi.jpg
calib_p29_high_bottom,2026-06-23-10-08-32.bag,high,bottom,False,True,intensity_fallback,1053,0.017440291019417662,,runs\calibration_20260623_lidar_intensity_fallback\calib_p29_high_bottom_fallback_intensity.jpg
