bag,label_norm,height_level,pose,rgb_checker,rgb_panel,rgb_method,rgb_rot_ok,rgb_angle_deg,rgb_quality,vis_checker,vis_panel,vis_method,vis_rot_ok,vis_angle_deg,vis_quality,nir_checker,nir_panel,nir_method,nir_rot_ok,nir_angle_deg,nir_quality,thermal_c_checker,thermal_c_panel,thermal_c_method,thermal_c_rot_ok,thermal_c_angle_deg,thermal_c_quality
2026-06-23-08-26-48.bag,calib_p01_low_center,low,center,True,True,gray_clahe_classic_guided_s0.25_inv,True,0.21332691712674365,94.91326904296875,True,True,mean4_norm_classic_guided_s1_inv,True,-0.031219052956181746,73.99742889404297,True,True,mean4_norm_classic_guided_s1_inv,True,0.2827071440982517,74.68190002441406,False,True,contrast_full,False,,218657.3662286966
2026-06-23-08-30-20.bag,calib_p01_low_left,low,left,True,True,gray_norm_classic_guided_s0.25_inv,True,-1.1175419549218002,95.9262924194336,False,True,contrast_right_half,False,,52786.30619223898,False,True,contrast_full,False,,38128.266078769055,False,True,contrast_full,False,,188798.22173771414
2026-06-23-08-39-46.bag,calib_p01_low_left_02,low,left_02,True,True,gray_norm_classic_guided_s0.75_inv,True,-1.1105151310881656,95.92161560058594,False,True,contrast_right_half,False,,47926.31608112686,False,True,contrast_full,False,,37738.12987797735,False,True,contrast_full,False,,220272.8713561971
2026-06-23-08-43-50.bag,calib_p03_low_right,low,right,True,True,gray_norm_classic_guided_s0.75_inv,True,0.4013010432674339,93.8318099975586,False,True,contrast_left_half,False,,40292.50857797025,False,True,contrast_full,False,,41229.631163572005,False,True,contrast_full,False,,235266.2854963891
2026-06-23-08-49-49.bag,calib_p04_low_top,low,top,False,True,contrast_guided,False,,2151450.6549917385,False,True,contrast_guided,False,,22628.61987081829,False,True,contrast_guided,False,,33749.878898980736,False,True,contrast_guided,False,,244876.1834742342
2026-06-23-08-51-56.bag,calib_p05_low_bottom,low,bottom,True,True,gray_norm_classic_guided_s0.25_inv,True,-0.7331516217252858,94.9321517944336,False,True,contrast_full,False,,26080.918887680327,False,True,contrast_full,False,,38316.211599424445,False,True,contrast_full,False,,235065.18513279752
2026-06-23-08-54-31.bag,calib_p06_low_topleft,low,topleft,True,True,gray_unsharp_classic_guided_s1_inv,True,0.030876824449920168,95.15895080566406,False,True,contrast_full,False,,24072.373884477256,False,True,contrast_full,False,,36224.725780000575,False,True,contrast_full,False,,231364.3782123963
2026-06-23-08-56-12.bag,calib_p07_low_topright,low,topright,False,True,contrast_guided,False,,2251263.207021915,False,True,contrast_guided,False,,22297.121993347482,False,True,contrast_guided,False,,32957.020446767056,False,True,contrast_guided,False,,225162.43431457505
2026-06-23-08-58-21.bag,calib_p08_low_bottomleft,low,bottomleft,False,True,contrast_guided,False,,1539671.2349982103,False,True,contrast_top_half,False,,38951.19370117791,False,True,contrast_top_half,False,,39958.798437523845,False,True,contrast_guided,False,,228376.43431457505
2026-06-23-08-59-53.bag,calib_p09_low_bottomright,low,bottomright,True,True,gray_unsharp_classic_guided_s0.75_inv,True,-0.06676320523357422,94.2400131225586,False,True,contrast_full,False,,20295.649920003536,False,True,contrast_full,False,,30748.427043168394,False,True,contrast_full,False,,225537.21773719194
2026-06-23-09-02-50.bag,calib_p10_low_roll_plus,low,roll_plus,True,True,gray_unsharp_classic_guided_s0.25_inv,True,-13.307794279663124,97.18987274169922,False,True,contrast_guided,False,,41729.921717389814,False,True,contrast_guided,False,,41982.58446161914,False,True,contrast_full,False,,199879.8419276971
2026-06-23-09-04-17.bag,calib_p11_low_roll_minus,low,roll_minus,True,True,gray_unsharp_classic_guided_s0.5_inv,True,22.39073471653312,98.54251098632812,False,True,contrast_guided,False,,42473.73032786986,False,True,contrast_guided,False,,43591.936646352166,False,True,contrast_full,False,,211526.86064830306
2026-06-23-09-06-46.bag,calib_p12_low_tilt,low,tilt,False,True,contrast_guided,False,,2347474.7982301232,True,True,mean4_norm_sb_guided_s1_norm,True,-0.6079156085401636,73.7928466796875,False,True,contrast_guided,False,,40533.51219381766,False,True,contrast_guided,False,,223819.43431457505
2026-06-23-09-10-36.bag,calib_p13_mid_center,mid,center,True,True,gray_norm_classic_guided_s0.25_inv,True,0.034207584545899804,112.2699203491211,False,True,contrast_guided,False,,41829.894977754884,False,True,contrast_guided,False,,39770.84925076697,False,True,contrast_full,False,,219391.30477095896
2026-06-23-09-12-23.bag,calib_p14_mid_left,mid,left,True,True,gray_norm_classic_guided_s0.25_norm,True,179.65995762575537,112.87709045410156,False,True,contrast_guided,False,,34318.23233288565,False,True,contrast_guided,False,,41383.255107163044,False,True,contrast_full,False,,214761.09174357992
2026-06-23-09-14-07.bag,calib_p15_mid_right,mid,right,True,True,gray_norm_classic_guided_s0.25_norm,True,177.6597197363115,111.49002075195312,False,True,contrast_guided,False,,36055.18545046482,False,True,contrast_guided,False,,42846.93227190834,False,True,contrast_full,False,,220168.8574521883
2026-06-23-09-17-27.bag,calib_p16_mid_top,mid,top,True,True,gray_norm_classic_guided_s0.25_norm,True,-179.51193137272537,112.40418243408203,False,True,contrast_guided,False,,33445.0282848842,False,True,contrast_guided,False,,44163.046868045356,False,True,contrast_full,False,,221837.80986724317
2026-06-23-09-19-08.bag,calib_p17_mid_bottom,mid,bottom,True,True,gray_unsharp_classic_guided_s0.75_inv,True,0.25872662608505936,112.26853942871094,False,True,contrast_full,False,,34266.023072264026,False,True,contrast_full,False,,39526.08370506529,False,True,contrast_full,False,,231095.2802554042
2026-06-23-09-21-49.bag,calib_p18_mid_topleft,mid,topleft,True,True,gray_norm_classic_guided_s0.25_norm,True,-179.4336595686972,112.87834167480469,False,True,contrast_guided,False,,28871.486824937227,False,True,contrast_guided,False,,41107.32727141594,False,True,contrast_full,False,,232359.18802495126
2026-06-23-09-23-06.bag,calib_p19_mid_topright,mid,topright,True,True,gray_norm_classic_guided_s0.25_inv,True,1.2535293781253265,112.16398620605469,False,True,contrast_guided,False,,30355.614132871266,False,True,contrast_guided,False,,40580.204007333596,False,True,contrast_full,False,,238474.67613101195
2026-06-23-09-24-53.bag,calib_p20_mid_bottomleft,mid,bottomleft,True,True,gray_norm_classic_guided_s0.25_norm,True,179.59415354967996,112.98768615722656,False,True,contrast_full,False,,27116.345827703775,False,True,contrast_full,False,,41757.33366160259,False,True,contrast_full,False,,226775.51525348317
2026-06-23-09-27-27.bag,calib_p21_mid_bottomright,mid,bottomright,False,True,contrast_guided,False,,1462350.492897849,False,True,contrast_guided,False,,27446.638181844268,False,True,contrast_guided,False,,39295.562312960166,False,True,contrast_guided,False,,215754.22741484636
2026-06-23-09-49-39.bag,calib_p22_mid_roll_plus,mid,roll_plus,True,True,gray_norm_classic_guided_s0.25_norm,True,163.46062047407443,116.55683898925781,False,True,contrast_guided,False,,43009.98004975155,False,True,contrast_guided,False,,42226.98004975155,False,True,contrast_full,False,,173872.62483060337
2026-06-23-09-51-00.bag,calib_p23_mid_roll_minus,mid,roll_minus,True,True,gray_norm_classic_guided_s0.25_norm,True,-156.09938202382872,118.20262145996094,False,True,contrast_guided,False,,43390.98668144865,False,True,contrast_guided,False,,41637.105572809,False,True,contrast_guided,False,,200300.2761790091
2026-06-23-09-55-04.bag,calib_p24_mid_tilt,mid,tilt,False,True,contrast_guided,False,,1803014.4968444887,False,True,contrast_guided,False,,41051.31218221708,False,True,contrast_guided,False,,39895.59565268748,False,True,contrast_guided,False,,217935.43431457505
2026-06-23-10-00-18.bag,calib_p25_high_center,high,center,True,True,gray_norm_classic_guided_s0.25_inv,True,0.7025093589723471,140.2531280517578,False,True,contrast_guided,False,,37764.229217758846,False,True,contrast_guided,False,,39250.12148395144,False,True,contrast_full,False,,155713.3570213994
2026-06-23-10-02-00.bag,calib_p26_high_left,high,left,True,True,gray_norm_classic_guided_s0.25_inv,True,0.5247964666796944,141.19210815429688,False,True,contrast_guided,False,,33623.669050381366,False,True,contrast_guided,False,,38459.55264503512,False,True,contrast_guided,False,,118342.43659729765
2026-06-23-10-03-25.bag,calib_p27_high_right,high,right,True,True,gray_norm_classic_guided_s0.25_inv,True,0.5885547251697688,139.04966735839844,False,True,contrast_full,False,,30915.22064304573,False,True,contrast_full,False,,41193.08408424108,False,True,contrast_guided,False,,145999.39105893296
2026-06-23-10-05-51.bag,calib_p28_high_top,high,top,True,True,gray_norm_classic_guided_s0.25_inv,True,-0.93779341609481,140.6436309814453,False,True,contrast_guided,False,,34046.35951959909,False,True,contrast_guided,False,,36814.197015091595,False,True,contrast_full,False,,206753.9023523515
2026-06-23-10-08-32.bag,calib_p29_high_bottom,high,bottom,False,True,contrast_guided,False,,1541143.598630153,False,True,contrast_guided,False,,36759.43431457505,False,True,contrast_guided,False,,40840.0,False,True,contrast_guided,False,,219216.43431457505
2026-06-23-10-10-54.bag,calib_p30_high_topleft,high,topleft,True,True,gray_norm_classic_guided_s0.25_norm,True,179.93268944275155,141.5286102294922,False,True,contrast_guided,False,,26167.460841862125,False,True,contrast_guided,False,,33193.33055326013,False,True,contrast_full,False,,223191.7840159826
